;Activity coefficient;Activity coefficient_std;Mole fraction;Pressure, kPa;Temperature, K;components;filename;phase;n_components;component_0;component_1;formula_0;formula_1;n_atoms_0;n_heavy_atoms_0;n_desired_atoms_0;n_other_atoms_0;n_atoms_1;n_heavy_atoms_1;n_desired_atoms_1;n_other_atoms_1;SMILES_0;SMILES_1;cas_0;InChI_0;cas_1;InChI_1
162678;8976.0;448.8;0.0;101.0;288.15;toluene__water;j.fluid.2006.02.022;Liquid;2;toluene;water;C7H8;H2O;15;7;15;0;3;1;3;0;Cc1ccccc1;O;3101-08-4;InChIKey=YXFVVABEGXRONW-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162682;325.0;9.0;0.0;101.0;288.15;tert-butyl ethyl ether__water;j.fluid.2006.02.022;Liquid;2;tert-butyl ethyl ether;water;C6H14O;H2O;21;7;21;0;3;1;3;0;CCOC(C)(C)C;O;637-92-3;InChIKey=NUMQCACRALPSHD-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162686;127.0;6.0;0.0;101.0;288.15;methyl tert-butyl ether__water;j.fluid.2006.02.022;Liquid;2;methyl tert-butyl ether;water;C5H12O;H2O;18;6;18;0;3;1;3;0;COC(C)(C)C;O;1634-04-4;InChIKey=BZLVMXJERCGZMT-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162690;1351.0;44.0;0.0;101.0;288.15;butane, 2-ethoxy-2-methyl-__water;j.fluid.2006.02.022;Liquid;2;butane, 2-ethoxy-2-methyl-;water;C7H16O;H2O;24;8;24;0;3;1;3;0;CCOC(C)(C)CC;O;919-94-8;InChIKey=KFRVYYGHSPLXSZ-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162694;390.0;18.0;0.0;101.0;288.15;tert-amyl methyl ether__water;j.fluid.2006.02.022;Liquid;2;tert-amyl methyl ether;water;C6H14O;H2O;21;7;21;0;3;1;3;0;CCC(C)(C)OC;O;994-05-8;InChIKey=HVZJRWJGKQPSFL-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162713;1263.0;46.0;0.0;101.0;288.15;thiophene__water;j.fluid.2006.02.022;Liquid;2;thiophene;water;C4H4S;H2O;9;5;9;0;3;1;3;0;s1cccc1;O;25233-34-5;InChIKey=YTPLMLYBLZKORZ-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162718;6027.0;221.0;0.0;101.0;288.15;1-butanethiol__water;j.fluid.2006.02.022;Liquid;2;1-butanethiol;water;C4H10S;H2O;15;5;15;0;3;1;3;0;CCCCS;O;109-79-5;InChIKey=WQAQPCDUOCURKW-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162723;1423.0;51.0;0.0;101.0;288.15;1-propanethiol__water;j.fluid.2006.02.022;Liquid;2;1-propanethiol;water;C3H8S;H2O;12;4;12;0;3;1;3;0;CCCS;O;51285-52-0;InChIKey=SUVIGLJNEAMWEG-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
162728;1116.0;41.0;0.0;101.0;288.15;2-propanethiol__water;j.fluid.2006.02.022;Liquid;2;2-propanethiol;water;C3H8S;H2O;12;4;12;0;3;1;3;0;CC(C)S;O;75-33-2;InChIKey=KJRCEJOSASVSRA-UHFFFAOYSA-N;14314-42-2;InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
198809;3.14;0.0785;0.0;101.0;303.17;methanol__2-octanone;j.fluid.2008.02.021;Liquid;2;methanol;2-octanone;CH4O;C8H16O;6;2;6;0;25;9;25;0;CO;CCCCCCC(C)=O;54841-71-3;InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N;111-13-7;InChIKey=ZPVFWPFBNIEHGJ-UHFFFAOYSA-N
