,(Relative) activity,(Relative) activity_std,Activity coefficient,Activity coefficient_std,Mass fraction,"Molality, mol/kg","Molality, mol/kg Variable metadata","Molality, mol/kg metadata",Mole fraction,Mole fraction Variable metadata,Mole fraction metadata,"Pressure, kPa","Temperature, K",components,filename,phase,n_components,component_0,component_1,formula_0,formula_1,n_atoms_0,n_heavy_atoms_0,n_desired_atoms_0,n_other_atoms_0,n_atoms_1,n_heavy_atoms_1,n_desired_atoms_1,n_other_atoms_1,SMILES_0,SMILES_1,cas_0,InChI_0,cas_1,InChI_1
7262,,,0.73,0.0365,0.0,,,,,,,101.0,313.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7263,,,0.75,0.0375,0.0,,,,,,,101.0,333.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7264,,,0.78,0.039,0.0,,,,,,,101.0,353.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7265,,,0.79,0.0395,0.0,,,,,,,101.0,373.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7266,,,0.8,0.04,0.0,,,,,,,101.0,393.15,glycerol__water,cs.jced.5b00116,Liquid,2,glycerol,water,C3H8O3,H2O,14,6,14,0,3,1,3,0,OCC(O)CO,O,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,14314-42-2,InChIKey=XLYOFNOQVPJJNP-UHFFFAOYSA-N
7267,,,4.76,0.238,0.0,,,,,,,101.0,313.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7268,,,3.98,0.199,0.0,,,,,,,101.0,333.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7269,,,3.73,0.1865,0.0,,,,,,,101.0,353.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7270,,,3.52,0.176,0.0,,,,,,,101.0,373.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
7271,,,3.25,0.1625,0.0,,,,,,,101.0,393.15,glycerol__ethanol,cs.jced.5b00116,Liquid,2,glycerol,ethanol,C3H8O3,C2H6O,14,6,14,0,9,3,9,0,OCC(O)CO,CCO,8043-29-6,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,121182-78-3,InChIKey=LFQSCWFLJHTTHZ-UHFFFAOYSA-N
